mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0012792587280273438,0.0010445104029527977,0.006906366348266602,0.003544040956393289,11,1,"{'n_neighbors': 11, 'p': 1}",0.7974683544303798,0.8607594936708861,0.8924050632911392,0.8734177215189873,0.8853503184713376,0.8618801902765458,0.03395841567318094,10,0.8811410459587956,0.8716323296354992,0.8827258320126783,0.8827258320126783,0.8892405063291139,0.8814931091897529,0.005664279221356962
0.007335853576660156,0.0027342142747776247,0.0012678146362304688,0.0010358718564541603,11,2,"{'n_neighbors': 11, 'p': 2}",0.810126582278481,0.8670886075949367,0.8607594936708861,0.8544303797468354,0.802547770700637,0.8389905667983554,0.027066513951580155,52,0.8811410459587956,0.8684627575277337,0.8700475435816165,0.8716323296354992,0.8575949367088608,0.8697757226825011,0.007520463730210587
0.0,0.0,0.010201692581176758,6.46150419065968e-05,12,1,"{'n_neighbors': 12, 'p': 1}",0.7974683544303798,0.8670886075949367,0.8860759493670886,0.8607594936708861,0.8853503184713376,0.8593485447069258,0.032500780599593444,11,0.8795562599049128,0.8605388272583201,0.8748019017432647,0.8795562599049128,0.879746835443038,0.8748400168508896,0.007390375393842255
0.002690410614013672,0.00042189506777364893,0.0072266578674316405,0.0004459942697889991,12,2,"{'n_neighbors': 12, 'p': 2}",0.8164556962025317,0.879746835443038,0.8607594936708861,0.8481012658227848,0.821656050955414,0.8453438684189309,0.023767406558573168,29,0.8874801901743264,0.8684627575277337,0.8700475435816165,0.8795562599049128,0.8591772151898734,0.8729447932756926,0.00972643984790982
0.0042763233184814455,0.0033200148092530123,0.004155492782592774,0.0034862107493270275,13,1,"{'n_neighbors': 13, 'p': 1}",0.810126582278481,0.8860759493670886,0.8860759493670886,0.8670886075949367,0.8853503184713376,0.8669434814157864,0.02932267177250883,7,0.8748019017432647,0.8700475435816165,0.873217115689382,0.8890649762282092,0.8718354430379747,0.8757933960560894,0.0068181424818972505
0.002964353561401367,8.04929653674506e-05,0.006199693679809571,0.0015958023762613447,13,2,"{'n_neighbors': 13, 'p': 2}",0.8164556962025317,0.8860759493670886,0.8670886075949367,0.8544303797468354,0.8407643312101911,0.8529629928243168,0.023578567216176523,15,0.8874801901743264,0.8684627575277337,0.873217115689382,0.866877971473851,0.8544303797468354,0.8700936829224257,0.010680695209620903
0.0006001472473144531,0.0012002944946289062,0.009532546997070313,0.0012668406286879346,14,1,"{'n_neighbors': 14, 'p': 1}",0.810126582278481,0.8670886075949367,0.879746835443038,0.8670886075949367,0.8662420382165605,0.8580585342255906,0.024486357895124055,12,0.8637083993660856,0.8589540412044374,0.8637083993660856,0.8985736925515055,0.8670886075949367,0.8704066280166101,0.014319825856702127
0.003240489959716797,0.003968825664735294,0.006930112838745117,0.003961633128689362,14,2,"{'n_neighbors': 14, 'p': 2}",0.8164556962025317,0.8860759493670886,0.8544303797468354,0.8544303797468354,0.8407643312101911,0.8504313472546965,0.022584588750385978,17,0.8890649762282092,0.873217115689382,0.8573692551505546,0.8716323296354992,0.8591772151898734,0.8700921783787038,0.011429029304456044
0.008090496063232422,3.4190255047143835e-05,0.0021252155303955076,3.337430926387509e-05,15,1,"{'n_neighbors': 15, 'p': 1}",0.8164556962025317,0.879746835443038,0.879746835443038,0.8481012658227848,0.8662420382165605,0.8580585342255906,0.023823005194920623,12,0.8779714738510301,0.8589540412044374,0.8621236133122029,0.8954041204437401,0.8781645569620253,0.8745235611546871,0.013094360363392068
0.009047889709472656,0.0009349600262247551,0.0022543907165527345,0.0025409451834113345,15,2,"{'n_neighbors': 15, 'p': 2}",0.8227848101265823,0.8607594936708861,0.8607594936708861,0.8481012658227848,0.8407643312101911,0.8466338789002661,0.014173559052928504,23,0.8763866877971473,0.8541996830427893,0.8652931854199684,0.8700475435816165,0.8639240506329114,0.8659702300948865,0.0073255456331953635
0.0009835243225097656,0.001230699157737546,0.009557437896728516,0.0012884272229513698,16,1,"{'n_neighbors': 16, 'p': 1}",0.8164556962025317,0.879746835443038,0.879746835443038,0.8544303797468354,0.8598726114649682,0.8580504716600824,0.02318626751807054,14,0.8684627575277337,0.8557844690966719,0.8557844690966719,0.8890649762282092,0.8686708860759493,0.8675535116050472,0.012180632883537582
0.004875850677490234,0.003472952125290521,0.004853487014770508,0.003962971917098591,16,2,"{'n_neighbors': 16, 'p': 2}",0.8164556962025317,0.8734177215189873,0.8607594936708861,0.8607594936708861,0.8407643312101911,0.8504313472546965,0.01994748446411099,17,0.8637083993660856,0.8621236133122029,0.8652931854199684,0.866877971473851,0.8623417721518988,0.8640689883448014,0.001804817381575591
0.0,0.0,0.009292078018188477,0.0009656708464048982,17,1,"{'n_neighbors': 17, 'p': 1}",0.8164556962025317,0.8607594936708861,0.8734177215189873,0.8544303797468354,0.8471337579617835,0.8504394098202048,0.019059144291514646,16,0.873217115689382,0.8510301109350238,0.8573692551505546,0.8795562599049128,0.8781645569620253,0.8678674597283796,0.011532438542252473
0.0016048431396484375,0.003209686279296875,0.00862116813659668,0.0032008354240588796,17,2,"{'n_neighbors': 17, 'p': 2}",0.810126582278481,0.8607594936708861,0.8607594936708861,0.8291139240506329,0.8280254777070064,0.8377569942755786,0.019955323608648084,55,0.8652931854199684,0.8526148969889065,0.8716323296354992,0.8573692551505546,0.870253164556962,0.8634325663503782,0.007362123257183694
0.006207036972045899,0.0033624149317227447,0.0023450374603271483,0.0029737671284479055,18,1,"{'n_neighbors': 18, 'p': 1}",0.8037974683544303,0.8417721518987342,0.8670886075949367,0.8734177215189873,0.8280254777070064,0.8428202854148191,0.02556528790330321,43,0.8652931854199684,0.838351822503962,0.8605388272583201,0.8779714738510301,0.8607594936708861,0.8605829605408333,0.012796899809391122
0.0,0.0,0.010111856460571288,3.283999352834607e-05,18,2,"{'n_neighbors': 18, 'p': 2}",0.7911392405063291,0.8481012658227848,0.8544303797468354,0.8227848101265823,0.821656050955414,0.8276223494315891,0.022485872217138606,67,0.8573692551505546,0.8431061806656102,0.8652931854199684,0.8478605388272583,0.8686708860759493,0.8564600092278681,0.009800335419043115
0.007718372344970703,0.002946820819851004,0.0008423805236816406,0.0010318250322021464,19,1,"{'n_neighbors': 19, 'p': 1}",0.8037974683544303,0.8354430379746836,0.8670886075949367,0.8607594936708861,0.8471337579617835,0.842844473111344,0.022390059426469523,41,0.8621236133122029,0.8335974643423137,0.8526148969889065,0.8748019017432647,0.8544303797468354,0.8555136512267045,0.013458259230250402
0.0016746997833251953,0.0008381315795874759,0.006955766677856445,0.003602739192040816,19,2,"{'n_neighbors': 19, 'p': 2}",0.7974683544303798,0.8544303797468354,0.8481012658227848,0.8291139240506329,0.8280254777070064,0.8314278803515279,0.01988616051333828,63,0.8557844690966719,0.8462757527733756,0.8557844690966719,0.8526148969889065,0.8686708860759493,0.855826094806315,0.007300862312474311
0.0032395839691162108,0.003967723680065282,0.006980514526367188,0.0039123784308218576,20,1,"{'n_neighbors': 20, 'p': 1}",0.8037974683544303,0.8417721518987342,0.8544303797468354,0.8607594936708861,0.8535031847133758,0.8428525356768525,0.020467571695123324,40,0.8605388272583201,0.8272583201267829,0.849445324881141,0.873217115689382,0.8607594936708861,0.8542438163253024,0.015448688150762497
0.0012754440307617188,0.0010416244371228012,0.006907320022583008,0.0035472996857185395,20,2,"{'n_neighbors': 20, 'p': 2}",0.7974683544303798,0.8291139240506329,0.8481012658227848,0.8037974683544303,0.821656050955414,0.8200274127227283,0.01814210893873301,72,0.8573692551505546,0.8431061806656102,0.8510301109350238,0.8526148969889065,0.8544303797468354,0.8517101646973861,0.00479029079556705
0.0,0.0,0.010275506973266601,0.00012677042063515085,21,1,"{'n_neighbors': 21, 'p': 1}",0.7974683544303798,0.8417721518987342,0.8670886075949367,0.8417721518987342,0.8471337579617835,0.8390470047569136,0.022783169595063872,48,0.8573692551505546,0.8304278922345484,0.849445324881141,0.866877971473851,0.8591772151898734,0.8526595317859937,0.012420971310277853
0.00527496337890625,0.004372486493229837,0.004952144622802734,0.004394110712900527,21,2,"{'n_neighbors': 21, 'p': 2}",0.8037974683544303,0.8291139240506329,0.8417721518987342,0.810126582278481,0.8152866242038217,0.8200193501572199,0.013706280738293886,73,0.8589540412044374,0.8320126782884311,0.849445324881141,0.8541996830427893,0.8575949367088608,0.8504413328251319,0.009781337216275918
0.0008394241333007813,0.001028309678747142,0.007489919662475586,0.003926698719624569,22,1,"{'n_neighbors': 22, 'p': 1}",0.7911392405063291,0.8417721518987342,0.8607594936708861,0.8481012658227848,0.8407643312101911,0.836507296621785,0.023776840596729503,57,0.8573692551505546,0.8367670364500792,0.8415213946117274,0.8621236133122029,0.8449367088607594,0.8485436016770647,0.009626187528267303
0.0040606498718261715,0.0042597173879668675,0.005413532257080078,0.0037842942444512423,22,2,"{'n_neighbors': 22, 'p': 2}",0.8037974683544303,0.810126582278481,0.8291139240506329,0.810126582278481,0.7898089171974523,0.8085946948318954,0.012662155813572497,98,0.8431061806656102,0.8193343898573693,0.8541996830427893,0.8541996830427893,0.8449367088607594,0.8431553290938634,0.012763764208484577
0.006542730331420899,0.003272470535197784,0.0038152694702148437,0.0031799495777399436,23,1,"{'n_neighbors': 23, 'p': 1}",0.7911392405063291,0.8291139240506329,0.8670886075949367,0.8417721518987342,0.8407643312101911,0.8339756510521648,0.024746450059072486,59,0.8541996830427893,0.838351822503962,0.8446909667194928,0.8605388272583201,0.8386075949367089,0.8472777788922545,0.008778434317373107
0.0029293060302734374,0.003846703186442154,0.005400180816650391,0.004466250275623921,23,2,"{'n_neighbors': 23, 'p': 2}",0.8037974683544303,0.8354430379746836,0.8291139240506329,0.810126582278481,0.7961783439490446,0.8149318713214544,0.01497063190527411,83,0.8446909667194928,0.8161648177496038,0.8399366085578447,0.8557844690966719,0.8481012658227848,0.8409356255892796,0.013420343486860295
0.00261077880859375,0.0013681483554399015,0.007663345336914063,0.0012713305617417917,24,1,"{'n_neighbors': 24, 'p': 1}",0.7848101265822784,0.8291139240506329,0.8544303797468354,0.8417721518987342,0.8343949044585988,0.828904297347416,0.02362900407839914,66,0.8541996830427893,0.8367670364500792,0.8399366085578447,0.8510301109350238,0.8354430379746836,0.8434752953920841,0.007669783962193907
0.005574274063110352,0.0030003073949788368,0.007019996643066406,2.3237679355093354e-05,24,2,"{'n_neighbors': 24, 'p': 2}",0.810126582278481,0.8291139240506329,0.8354430379746836,0.7848101265822784,0.7834394904458599,0.8085866322663872,0.021645824751633232,99,0.8399366085578447,0.8161648177496038,0.8304278922345484,0.8446909667194928,0.8370253164556962,0.8336491203434372,0.009888687752673594
0.004143333435058594,0.004295304323681876,0.007874488830566406,0.004327918365391498,25,1,"{'n_neighbors': 25, 'p': 1}",0.7911392405063291,0.8481012658227848,0.8481012658227848,0.8354430379746836,0.8407643312101911,0.8327098282673546,0.021327221665294025,62,0.8510301109350238,0.838351822503962,0.838351822503962,0.8605388272583201,0.8417721518987342,0.8460089470200003,0.008620244212425346
0.002432584762573242,0.0029625921880246206,0.007654571533203125,0.0029513629983025967,25,2,"{'n_neighbors': 25, 'p': 2}",0.8227848101265823,0.8291139240506329,0.8291139240506329,0.7658227848101266,0.7961783439490446,0.808602757397404,0.024605034601358457,96,0.838351822503962,0.8098256735340729,0.8256735340729001,0.8225039619651348,0.8370253164556962,0.8266760617063532,0.010447751179395639
0.0020210742950439453,0.0031195280342906253,0.0064465999603271484,0.004485867886990807,26,1,"{'n_neighbors': 26, 'p': 1}",0.7974683544303798,0.8670886075949367,0.8481012658227848,0.8670886075949367,0.8471337579617835,0.8453761186809643,0.025489346590112427,25,0.8557844690966719,0.838351822503962,0.8415213946117274,0.8684627575277337,0.8481012658227848,0.850444341912576,0.010812199400370483
0.0020212173461914063,0.0031202636221646816,0.008061075210571289,0.003105393089750271,26,2,"{'n_neighbors': 26, 'p': 2}",0.8164556962025317,0.8291139240506329,0.8354430379746836,0.7784810126582279,0.802547770700637,0.8124082883173426,0.0203683544202165,90,0.8351822503961965,0.8114104595879557,0.8272583201267829,0.820919175911252,0.8354430379746836,0.8260426487993741,0.009096465536968424
0.004031133651733398,0.004219894575737763,0.006086826324462891,0.004261687201150037,27,1,"{'n_neighbors': 27, 'p': 1}",0.7911392405063291,0.8734177215189873,0.8670886075949367,0.8670886075949367,0.8471337579617835,0.8491735870353947,0.03033750240168549,19,0.8462757527733756,0.838351822503962,0.8510301109350238,0.8637083993660856,0.8496835443037974,0.8498099259764489,0.008227404227802234
0.0020073413848876952,0.003106383353849308,0.008052301406860352,0.0031249315208470153,27,2,"{'n_neighbors': 27, 'p': 2}",0.8164556962025317,0.8354430379746836,0.8164556962025317,0.7721518987341772,0.802547770700637,0.8086108199629122,0.021019351052689508,95,0.838351822503962,0.8145800316957211,0.8335974643423137,0.8161648177496038,0.8275316455696202,0.8260451563722441,0.009378392316730192
0.004084396362304688,0.004302705460091554,0.0061625480651855465,0.004336391509766828,28,1,"{'n_neighbors': 28, 'p': 1}",0.7974683544303798,0.8734177215189873,0.8481012658227848,0.8670886075949367,0.8407643312101911,0.845368056115456,0.02676420081246484,27,0.8541996830427893,0.8446909667194928,0.8399366085578447,0.8573692551505546,0.8528481012658228,0.8498089229473009,0.006470395188015723
0.0020223617553710937,0.004044723510742187,0.008072137832641602,0.004036093595036485,28,2,"{'n_neighbors': 28, 'p': 2}",0.8227848101265823,0.8417721518987342,0.8164556962025317,0.7721518987341772,0.7898089171974523,0.8085946948318956,0.024677443955151406,97,0.8478605388272583,0.8240887480190174,0.8399366085578447,0.8225039619651348,0.8322784810126582,0.8333336676763828,0.00957594170697484
0.003935813903808594,0.004267895861530642,0.006095218658447266,0.004253703826205763,29,1,"{'n_neighbors': 29, 'p': 1}",0.7974683544303798,0.8734177215189873,0.8670886075949367,0.8481012658227848,0.8343949044585988,0.8440941707651376,0.02710245037077633,37,0.8510301109350238,0.8462757527733756,0.8526148969889065,0.8573692551505546,0.8465189873417721,0.8507618006379266,0.004130145318195458
0.002007007598876953,0.0031059215590592787,0.00806741714477539,0.003084406790029419,29,2,"{'n_neighbors': 29, 'p': 2}",0.810126582278481,0.8417721518987342,0.8164556962025317,0.7468354430379747,0.8152866242038217,0.8060952995243087,0.031599487006804095,100,0.8478605388272583,0.8177496038034865,0.8272583201267829,0.820919175911252,0.8449367088607594,0.8317448695059078,0.012384923515770288
0.003624439239501953,0.0036831319206291984,0.006453180313110351,0.0036718227220148138,30,1,"{'n_neighbors': 30, 'p': 1}",0.810126582278481,0.8670886075949367,0.8354430379746836,0.8481012658227848,0.821656050955414,0.83648310892526,0.01993623841661641,58,0.8557844690966719,0.8399366085578447,0.8399366085578447,0.8605388272583201,0.8465189873417721,0.8485431001624907,0.008349554728142364
0.002920246124267578,0.003711834880103446,0.005692386627197265,0.004716186203950577,30,2,"{'n_neighbors': 30, 'p': 2}",0.8037974683544303,0.8544303797468354,0.8227848101265823,0.7531645569620253,0.8089171974522293,0.8086188825284205,0.032856914135578445,94,0.8415213946117274,0.8161648177496038,0.8320126782884311,0.8320126782884311,0.8401898734177216,0.832380288471183,0.009030627926398221
0.0030315399169921877,0.002693275457094279,0.006231784820556641,0.0027181080190087047,31,1,"{'n_neighbors': 31, 'p': 1}",0.8227848101265823,0.8924050632911392,0.8481012658227848,0.8481012658227848,0.8343949044585988,0.849157461904378,0.023605236665479708,20,0.8557844690966719,0.8541996830427893,0.8446909667194928,0.8652931854199684,0.8512658227848101,0.8542468254127465,0.0067020810491086515
0.004212570190429687,0.0041340054060140284,0.005454397201538086,0.004095349684231578,31,2,"{'n_neighbors': 31, 'p': 2}",0.810126582278481,0.8417721518987342,0.8291139240506329,0.7784810126582279,0.8089171974522293,0.813682173667661,0.021455324568866323,85,0.8351822503961965,0.8193343898573693,0.8304278922345484,0.8225039619651348,0.8322784810126582,0.8279453950931813,0.006017792053194078
0.002422332763671875,0.00295036503306244,0.007759714126586914,0.003053286086314576,32,1,"{'n_neighbors': 32, 'p': 1}",0.8227848101265823,0.8860759493670886,0.8481012658227848,0.8481012658227848,0.821656050955414,0.8453438684189308,0.02342790091525616,31,0.8589540412044374,0.8510301109350238,0.8478605388272583,0.8510301109350238,0.8433544303797469,0.850445846456298,0.005099884417160978
0.002017831802368164,0.0031196878412225377,0.008054304122924804,0.0031134637679321882,32,2,"{'n_neighbors': 32, 'p': 2}",0.8291139240506329,0.8417721518987342,0.8417721518987342,0.7911392405063291,0.802547770700637,0.8212690478110135,0.020787439200342525,70,0.8462757527733756,0.8193343898573693,0.8335974643423137,0.8225039619651348,0.8417721518987342,0.8326967441673855,0.01048817542544202
0.004189395904541015,0.0035409293803488717,0.006125116348266601,0.003537481550929156,33,1,"{'n_neighbors': 33, 'p': 1}",0.8227848101265823,0.879746835443038,0.8417721518987342,0.8417721518987342,0.821656050955414,0.8415464000645005,0.021009514204621996,46,0.8605388272583201,0.8351822503961965,0.8415213946117274,0.8462757527733756,0.8481012658227848,0.8463238981724809,0.008395545465079342
0.004360818862915039,0.004312775161479189,0.0060750007629394535,0.0041637144162094,33,2,"{'n_neighbors': 33, 'p': 2}",0.8227848101265823,0.8417721518987342,0.8354430379746836,0.7784810126582279,0.802547770700637,0.816205756671773,0.023137391351943686,79,0.8335974643423137,0.8161648177496038,0.8272583201267829,0.8177496038034865,0.8322784810126582,0.8254097374069691,0.0072357716306528114
0.0028767108917236326,0.0029565310075600226,0.006493234634399414,0.0033689155444850227,34,1,"{'n_neighbors': 34, 'p': 1}",0.8164556962025317,0.879746835443038,0.8417721518987342,0.8417721518987342,0.821656050955414,0.8402805772796904,0.022255484996956464,47,0.8526148969889065,0.8446909667194928,0.8415213946117274,0.8510301109350238,0.8481012658227848,0.847591727015587,0.004063931499006469
0.0024023056030273438,0.0012011551582492002,0.007783174514770508,0.003229595205647625,34,2,"{'n_neighbors': 34, 'p': 2}",0.8227848101265823,0.8607594936708861,0.8291139240506329,0.7784810126582279,0.7898089171974523,0.8161896315407564,0.02937648159684667,81,0.8446909667194928,0.8193343898573693,0.8335974643423137,0.820919175911252,0.8275316455696202,0.8292147284800097,0.009251944395490867
0.0024000167846679687,0.0012000085533892006,0.008463716506958008,0.001841270172155206,35,1,"{'n_neighbors': 35, 'p': 1}",0.8227848101265823,0.8734177215189873,0.8417721518987342,0.8354430379746836,0.8471337579617835,0.8441102958961542,0.016753692966258955,32,0.8510301109350238,0.8415213946117274,0.8399366085578447,0.8557844690966719,0.8607594936708861,0.8498064153744307,0.008040636006367322
0.0029982566833496095,3.3534910149607166e-06,0.006927633285522461,0.00015148694005783097,35,2,"{'n_neighbors': 35, 'p': 2}",0.7974683544303798,0.8481012658227848,0.8291139240506329,0.7721518987341772,0.802547770700637,0.8098766427477223,0.0263136052128714,93,0.8304278922345484,0.8129952456418383,0.8320126782884311,0.8129952456418383,0.8243670886075949,0.8225596300828502,0.00821573460445861
0.004243993759155273,0.002935751652751107,0.006100845336914062,0.0030753685820060616,36,1,"{'n_neighbors': 36, 'p': 1}",0.8227848101265823,0.879746835443038,0.8417721518987342,0.8354430379746836,0.8407643312101911,0.8441022333306458,0.019060549446800797,33,0.8510301109350238,0.8446909667194928,0.838351822503962,0.8557844690966719,0.8575949367088608,0.8494904611928022,0.007138235065517881
0.0025247573852539063,0.002441852152605552,0.008396387100219727,0.0024329512097755247,36,2,"{'n_neighbors': 36, 'p': 2}",0.7974683544303798,0.8481012658227848,0.8354430379746836,0.7721518987341772,0.802547770700637,0.8111424655325324,0.027340757607847724,91,0.820919175911252,0.8082408874801902,0.8288431061806656,0.820919175911252,0.8275316455696202,0.821290798210596,0.007301532822246526
